ticket_id,ticket_number,title,description,category,priority,status,service_name,company_name,created_at,resolved_at,resolution,root_cause,comments_summary,language
2011,TKT-2026-02011,Perte de connectivite publique sur des instances Cloud VPS apres maintenance,Des machines virtuelles de production restent joignables en interne mais ne repondent plus depuis Internet apres une maintenance hyperviseur. Les applications B2B exposees publiquement sont indisponibles. L impact est confirme sur le perimetre production entreprise.,INCIDENT,HIGH,CLOSED,Cloud VPS,Topnet,2026-03-11 14:00:00,2026-03-11 20:10:00,Les liaisons IP flottantes ont ete reconstruites puis les tables de routage externes ont ete resynchronisees sur le cluster,Un agent reseau du cluster n a pas restaure les liaisons des adresses IP flottantes au redemarrage,Un basculement de certains services publics a ete effectue vers le site secondaire du client Les liaisons IP flottantes ont ete reconstruites puis les tables de routage externes ont ete resynchronisees sur le cluster Verification finale effectuee avec les equipes metier et exploitation.,fr
2012,TKT-2026-02012,Lenteur de consultation des contrats multi lignes dans CRM Ericsson,Les agents du centre de relation client constatent des temps d affichage superieurs a 25 secondes lors de l ouverture des contrats multi lignes. La prise d appel sur les comptes entreprise est fortement ralentie. Le NOC a ouvert une surveillance renforcee sur le service concerne.,INCIDENT,HIGH,ESCALATED,CRM Ericsson,GlobalNet,2026-03-11 17:00:00,,,,Investigation en cours. Les agents ont utilise la vue simplifiee client pendant la degradation pour poursuivre les appels Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2013,TKT-2026-02013,Erreur de taxation TVA sur les frais de remise en service BSCS,Les devis et previsualisations de facture appliquent un taux de TVA incorrect sur les frais de remise en service des comptes entreprise. L anomalie ne touche pas les comptes grand public. Le client demande un retour rapide afin de respecter son SLA contractuel.,CONFIGURATION,LOW,RESOLVED,BSCS Billing System,Ericsson Tunisia,2026-03-11 20:00:00,2026-03-12 04:12:00,Le code taxe du produit a ete corrige dans le catalogue BSCS puis les simulations tarifaires ont ete relancees,Le produit technique etait rattache a une classe fiscale grand public au lieu de la classe entreprise,Les devis sensibles ont ete verifies manuellement par l equipe billing avant validation client Le code taxe du produit a ete corrige dans le catalogue BSCS puis les simulations tarifaires ont ete relancees Verification finale effectuee avec les equipes metier et exploitation.,fr
2014,TKT-2026-02014,Fausse alarme critique persistante sur un routeur coeur dans OSS,Une alarme de perte de redondance reste ouverte dans l OSS alors que le routeur coeur est revenu nominalement selon l equipe reseau. Les tableaux de disponibilite sont fausses et le NOC multiplie les escalades inutiles. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,HIGH,RESOLVED,Core Network OSS,Ooredoo Tunisie,2026-03-11 23:00:00,2026-03-12 08:13:00,La base d etat OSS a ete resynchronisee puis le connecteur d alarme a ete redemarre et les faux positifs ont disparu,Le moteur de reconciliation des etats n arrivait plus a purger l alarme a cause d une incoherence d inventaire temps reel,Le NOC a applique une suppression logique controlee de l alarme sur le tableau de supervision pour limiter le bruit La base d etat OSS a ete resynchronisee puis le connecteur d alarme a ete redemarre et les faux positifs ont disparu Verification finale effectuee avec les equipes metier et exploitation.,fr
2015,TKT-2026-02015,Echec de provisionnement de l option roaming entreprise,Les commandes de souscription a l option roaming sont acceptees dans le CRM mais echouent a l etape de provisionning HLR HSS. Les clients ne peuvent pas utiliser l option a l etranger. Le perimetre touche concerne principalement les comptes B2B prioritaires.,PROVISIONING,HIGH,IN_PROGRESS,Provisioning Platform,Tunisie Telecom,2026-03-12 02:00:00,,,,Investigation en cours. Les activations urgentes ont ete forcees manuellement sur le HLR pour les comptes en voyage Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2016,TKT-2026-02016,Rejets incoherents des demandes MNP pour identite client invalide,Plusieurs dossiers de portabilite sont rejetes avec un code identite client invalide alors que les donnees du CRM sont correctes. Le phenomene touche surtout les lignes B2B multi utilisateurs. L impact est confirme sur le perimetre production entreprise.,PROVISIONING,HIGH,ESCALATED,Mobile Portability Gateway,Orange Tunisie,2026-03-12 05:00:00,,,,Investigation en cours. Les dossiers urgents ont ete corriges manuellement avant soumission a l operateur donneur Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2017,TKT-2026-02017,Webhook Order Care non emis apres validation des changements d offre,Les systemes aval ne recoivent plus l evenement de validation des commandes de changement d offre. Les options commerciales ne sont donc pas activees automatiquement. Le NOC a ouvert une surveillance renforcee sur le service concerne.,EVOLUTION,HIGH,RESOLVED,Order Care API,Topnet,2026-03-12 08:00:00,2026-03-12 12:16:00,La cle de routage a ete corrigee puis les webhooks en attente ont ete republies vers tous les consommateurs concernes,Une cle de routage incorrecte avait ete appliquee lors d une mise a jour du bus d evenements,Les ordres valides ont ete surveilles manuellement et les activations critiques ont ete lancees via un script de reprise La cle de routage a ete corrigee puis les webhooks en attente ont ete republies vers tous les consommateurs concernes Verification finale effectuee avec les equipes metier et exploitation.,fr
2018,TKT-2026-02018,Violation de cles etrangeres pendant la migration des ordres de service,Le chargement des ordres de service dans la cible s interrompt avec des erreurs SQL de cle etrangere. Les ordres dependent de referentiels produit et canal absents dans la cible. Le client demande un retour rapide afin de respecter son SLA contractuel.,MIGRATION,CRITICAL,CLOSED,Data Migration Engine,GlobalNet,2026-03-12 11:00:00,2026-03-12 16:17:00,Le sequencement ETL a ete corrige puis les referentiels ont ete recharges avant rejeu complet des ordres de service,L ordonnancement des jobs ETL ne respectait pas la dependance entre les tables de reference et les ordres,Le lot d import des ordres a ete suspendu et les ordres critiques ont ete extraits pour un chargement pilote Le sequencement ETL a ete corrige puis les referentiels ont ete recharges avant rejeu complet des ordres de service Verification finale effectuee avec les equipes metier et exploitation.,fr
2019,TKT-2026-02019,Perte RTP sur les files du centre de contact VoIP,Le centre de contact constate des coupures vocales et une forte gigue sur les appels entrants depuis le debut de matinee. Le taux de perte RTP depasse 8 pour cent sur plusieurs files critiques. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,HIGH,RESOLVED,VoIP Platform,Ericsson Tunisia,2026-03-12 14:00:00,2026-03-12 20:18:00,La politique QoS a ete corrigee sur les interfaces de sortie et les flux RTP ont retrouve un niveau de perte normal,Une politique QoS appliquee lors d une maintenance avait degrade la priorite du trafic RTP,Les appels prioritaires ont ete reroutes vers la passerelle media secondaire pour reduire l impact La politique QoS a ete corrigee sur les interfaces de sortie et les flux RTP ont retrouve un niveau de perte normal Verification finale effectuee avec les equipes metier et exploitation.,fr
2020,TKT-2026-02020,Debit FTTH inferieur au profil commercial sur liaison entreprise,Le client mesure un debit descendant plafonne a 120 Mbps sur une offre 300 Mbps. Les tests sont realises en filaire et l ONT ne remonte aucune alarme optique. Le perimetre touche concerne principalement les comptes B2B prioritaires.,INCIDENT,HIGH,RESOLVED,Fibre FTTH,Ooredoo Tunisie,2026-03-12 17:00:00,2026-03-13 00:19:00,Le template de bande passante a ete corrige sur l OLT puis la session client a ete reprovisionnee au bon debit,Le profil de traffic shaping applique sur l OLT etait celui d une ancienne offre,Le client a ete place temporairement sur un profil intermediaire plus eleve en attendant la correction definitive Le template de bande passante a ete corrige sur l OLT puis la session client a ete reprovisionnee au bon debit Verification finale effectuee avec les equipes metier et exploitation.,fr
2021,TKT-2026-02021,Snapshots nocturnes Cloud VPS en echec sur le cluster de sauvegarde,Les snapshots planifies de plusieurs VM de production echouent depuis deux nuits consecutives et aucun point de restauration recent n est disponible. Le risque de perte de reprise augmente. L impact est confirme sur le perimetre production entreprise.,INCIDENT,HIGH,CLOSED,Cloud VPS,Tunisie Telecom,2026-03-12 20:00:00,2026-03-13 04:20:00,Le volume du repository a ete etendu puis les jobs en erreur ont ete rejoues et verifies,Le stockage du repository de snapshots etait arrive a saturation,Les sauvegardes les plus critiques ont ete exportees manuellement vers un stockage temporaire Le volume du repository a ete etendu puis les jobs en erreur ont ete rejoues et verifies Verification finale effectuee avec les equipes metier et exploitation.,fr
2022,TKT-2026-02022,Historique des interactions client incomplet dans CRM Ericsson,Les conseillers ne visualisent plus l ensemble des interactions sur certains comptes entreprise depuis la derniere synchronisation analytique. Les dossiers anciens sont absents du timeline CRM. Le NOC a ouvert une surveillance renforcee sur le service concerne.,RECLAMATION,HIGH,IN_PROGRESS,CRM Ericsson,Orange Tunisie,2026-03-12 23:00:00,,,,Investigation en cours. Les agents ont consulte temporairement l historique via le referentiel analytique en lecture seule Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2023,TKT-2026-02023,Lot de suspension pour impayes non execute dans BSCS,Le traitement automatique de suspension pour impayes n a pas ete lance durant la nuit. Les comptes en retard n ont pas change de statut et les campagnes de recouvrement sont bloquees. Le client demande un retour rapide afin de respecter son SLA contractuel.,INCIDENT,HIGH,IN_PROGRESS,BSCS Billing System,Topnet,2026-03-13 02:00:00,,,,Investigation en cours. Les comptes a risque eleve ont ete identifies et traites manuellement par l equipe recouvrement Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2024,TKT-2026-02024,Arret de collecte des alarmes sur le cluster OSS secondaire,Le cluster secondaire OSS ne collecte plus les alarmes coeur reseau depuis 03:00. En cas de bascule NOC aucune vue fiable des incidents n est disponible sur l environnement de secours. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,CRITICAL,ESCALATED,Core Network OSS,GlobalNet,2026-03-13 05:00:00,,,,Investigation en cours. Le NOC est reste positionne sur le cluster principal pendant la remise en service afin de conserver une vision complete Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2025,TKT-2026-02025,Rollback incomplet lors de l annulation d une suspension,Quand une commande de suspension est annulee dans le CRM certains sous services restent suspendus dans le moteur de provisioning. Le statut commercial redevient actif mais le service technique ne suit pas. Le perimetre touche concerne principalement les comptes B2B prioritaires.,PROVISIONING,HIGH,RESOLVED,Provisioning Platform,Ericsson Tunisia,2026-03-13 08:00:00,2026-03-13 12:24:00,Le workflow a ete corrige puis un batch de remediation a reactive les sous services restes suspendus,Une branche du workflow de rollback omettait le sous service data dans les offres multi produits,Les comptes les plus sensibles ont ete regularises manuellement avant execution du correctif global Le workflow a ete corrige puis un batch de remediation a reactive les sous services restes suspendus Verification finale effectuee avec les equipes metier et exploitation.,fr
2026,TKT-2026-02026,Decomposition technique incomplete des commandes FTTH via Order Care,Les commandes FTTH creees depuis le digital arrivent dans Order Care mais ne generent pas tous les sous ordres necessaires a l installation et a l activation PPPoE. Les plannings terrain restent incomplets. L impact est confirme sur le perimetre production entreprise.,PROVISIONING,HIGH,RESOLVED,Order Care API,Ooredoo Tunisie,2026-03-13 11:00:00,2026-03-13 16:25:00,La regle de decomposition a ete corrigee puis les commandes incompletes ont ete repassees dans le moteur d orchestration,Une condition d orchestration filtrait a tort les produits FTTH B2B avec option IP fixe,Les commandes urgentes ont ete completees manuellement par le back office pour maintenir les rendez vous terrain La regle de decomposition a ete corrigee puis les commandes incompletes ont ete repassees dans le moteur d orchestration Verification finale effectuee avec les equipes metier et exploitation.,fr
2027,TKT-2026-02027,Incoherence de reprise des historiques de facture dans Data Migration Engine,Lors des tests de migration certains comptes recuperent un historique de facturation incomplet sur 24 mois. Les ecarts concernent surtout les factures avec ajustements manuels et avoirs. Le NOC a ouvert une surveillance renforcee sur le service concerne.,MIGRATION,HIGH,IN_PROGRESS,Data Migration Engine,Tunisie Telecom,2026-03-13 14:00:00,,,,Investigation en cours. Un export controle des factures critiques a ete fourni aux equipes recette en attendant le rejeu complet Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2028,TKT-2026-02028,Tableaux de disponibilite OSS figes sur des donnees obsoletes,Les dashboards de disponibilite multi service affichent encore les metriques de la veille alors que les collecteurs remontent des donnees fraiches. Le management ne dispose plus d un suivi fiable. Le client demande un retour rapide afin de respecter son SLA contractuel.,EVOLUTION,LOW,ESCALATED,Core Network OSS,Orange Tunisie,2026-03-13 17:00:00,,,,Investigation en cours. Le reporting du matin a ete prepare a partir des exports bruts des collecteurs pendant la remise en service Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2029,TKT-2026-02029,Blocage du rating BSCS sur les CDR roaming entrants lot secondaire,Depuis 06:20 les CDR roaming entrants ne sont plus valorises dans BSCS et le backlog depasse 42000 enregistrements. Les soldes clients postpayes ne sont plus mis a jour apres consommation. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,CRITICAL,IN_PROGRESS,BSCS Billing System,Topnet,2026-03-13 20:00:00,,,,Investigation en cours. Les CDR invalides ont ete isoles et la file de mediation secondaire a pris le relais pour les flux prioritaires Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2030,TKT-2026-02030,Echec du bill run mensuel BSCS pour les comptes entreprise lot secondaire,Le bill run mensuel s arrete au milieu du cycle entreprise et aucune facture PDF n est produite pour 8600 comptes. Les previsions de cloture financiere sont retardees. Le perimetre touche concerne principalement les comptes B2B prioritaires.,INCIDENT,HIGH,CLOSED,BSCS Billing System,GlobalNet,2026-03-13 23:00:00,2026-03-14 08:29:00,Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees,Le repertoire de polices du moteur PDF etait invalide apres une maintenance systeme,Les factures critiques ont ete sorties via le moteur de secours afin de respecter la fenetre de controle finance Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees Verification finale effectuee avec les equipes metier et exploitation.,fr
2031,TKT-2026-02031,Desynchronisation des fiches clients CRM Ericsson vers BSCS lot secondaire,Les creations de comptes corporate dans le CRM Ericsson ne remontent plus vers BSCS depuis la derniere mise a jour. Les commerciaux valident les dossiers mais aucun compte de facturation n est cree. L impact est confirme sur le perimetre production entreprise.,INCIDENT,HIGH,RESOLVED,CRM Ericsson,Ericsson Tunisia,2026-03-14 02:00:00,2026-03-14 12:30:00,Le secret OAuth et le certificat ont ete renouvelles puis la file d integration a ete rejouee et les comptes manquants ont ete synchronises,Le certificat OAuth utilise par le connecteur CRM vers BSCS avait expire sans rotation automatique,Les comptes urgents ont ete crees manuellement dans BSCS pour les ventes prioritaires Le secret OAuth et le certificat ont ete renouvelles puis la file d integration a ete rejouee et les comptes manquants ont ete synchronises Verification finale effectuee avec les equipes metier et exploitation.,fr
2032,TKT-2026-02032,Perte de remontee des KPI radio dans Core Network OSS lot secondaire,Les tableaux NOC n affichent plus les KPI radio 2G et 4G pour 186 noeuds depuis 01:00. La supervision reseau ne peut plus suivre la disponibilite et la charge trafic en temps reel. Le NOC a ouvert une surveillance renforcee sur le service concerne.,INCIDENT,CRITICAL,RESOLVED,Core Network OSS,Ooredoo Tunisie,2026-03-14 05:00:00,2026-03-14 16:31:00,Les credentials ont ete resynchronises puis les pollers ont ete redemarres et les KPI manquants ont ete reconstruits depuis les buffers locaux,La rotation des credentials SNMP n a pas ete propagee au cluster de pollers secondaire,Le NOC a bascule temporairement sur les compteurs locaux exposes par les equipements critiques Les credentials ont ete resynchronises puis les pollers ont ete redemarres et les KPI manquants ont ete reconstruits depuis les buffers locaux Verification finale effectuee avec les equipes metier et exploitation.,fr
2033,TKT-2026-02033,Blocage de la file JMS d activation dans la plateforme de provisioning lot secondaire,Les demandes d activation postpayees restent en statut pending depuis 09:10 et plus de 630 ordres sont en attente. Les boutiques et le CRM ne recoivent plus de confirmation technique. Le client demande un retour rapide afin de respecter son SLA contractuel.,PROVISIONING,CRITICAL,RESOLVED,Provisioning Platform,Tunisie Telecom,2026-03-14 08:00:00,2026-03-14 12:32:00,Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes,Un message XML mal forme issu d un canal partenaire a bloque le consommateur principal de la file JMS,Les activations VIP ont ete traitees via un worker secondaire et une verification manuelle des accuses a ete effectuee Le message fautif a ete mis en quarantaine puis le consumer a ete relance et les ordres ont ete rejoues avec succes Verification finale effectuee avec les equipes metier et exploitation.,fr
2034,TKT-2026-02034,Demandes de portabilite bloquees a la validation operateur donneur lot secondaire,Les demandes MNP entrantes restent en attente de validation et aucun accuse n est renvoye par l operateur donneur. Le portail de portabilite accumule rapidement un stock de dossiers. Des controles complementaires ont ete lances sur les flux inter applicatifs.,PROVISIONING,HIGH,CLOSED,Mobile Portability Gateway,Orange Tunisie,2026-03-14 11:00:00,2026-03-14 16:33:00,Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission,Le timeout reseau de la passerelle etait inferieur au temps de reponse reel du service partenaire,Les dossiers urgents ont ete rejoues en lots restreints avec un suivi manuel des accuses de reception Le timeout du connecteur a ete ajuste puis les dossiers en attente ont ete reemis dans l ordre de soumission Verification finale effectuee avec les equipes metier et exploitation.,fr
2035,TKT-2026-02035,Indisponibilite de l API Order Care sur la creation de commandes lot secondaire,Les appels POST vers l API Order Care retournent HTTP 500 pour toutes les souscriptions depuis 07:45. Les canaux digitaux et le CRM ne peuvent plus creer de nouvelles commandes. Le perimetre touche concerne principalement les comptes B2B prioritaires.,INCIDENT,CRITICAL,IN_PROGRESS,Order Care API,Topnet,2026-03-14 14:00:00,,,,Investigation en cours. Les commandes critiques ont ete prises en charge via un script de creation controle sur la base de secours Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2036,TKT-2026-02036,Echec du lot de migration des comptes clients vers le nouveau referentiel lot secondaire,Le lot nocturne de migration de 12500 comptes postpayes s arrete a la phase de transformation et aucun chargement n est effectue dans la cible. Le planning de bascule projet est menace. L impact est confirme sur le perimetre production entreprise.,MIGRATION,CRITICAL,IN_PROGRESS,Data Migration Engine,GlobalNet,2026-03-14 17:00:00,,,,Investigation en cours. Le lot a ete suspendu et un perimetre reduit de comptes critiques a ete extrait pour verification manuelle Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2037,TKT-2026-02037,Echec d enregistrement SIP sur le trunk principal entreprise lot secondaire,Les appels sortants des clients entreprise ne s etablissent plus depuis 08:15 et le SBC principal retourne 403 sur toutes les tentatives d enregistrement SIP. Le trafic voix sortant est fortement impacte. Le NOC a ouvert une surveillance renforcee sur le service concerne.,INCIDENT,CRITICAL,RESOLVED,VoIP Platform,Ericsson Tunisia,2026-03-14 20:00:00,2026-03-15 04:36:00,Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement,Le certificat TLS du trunk principal a expire a minuit sans redeploiement automatique,Le trafic voix sortant a ete bascule provisoirement sur le SBC secondaire pour les clients critiques Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement Verification finale effectuee avec les equipes metier et exploitation.,fr
2038,TKT-2026-02038,Coupure FTTH regionale apres saturation d un port OLT lot secondaire,Plusieurs clients entreprise de la zone Ariana ont perdu la connectivite IP alors que les ONT restent synchronisees optiquement. Aucun trafic ne transite sur le port de collecte principal. Le client demande un retour rapide afin de respecter son SLA contractuel.,PROVISIONING,CRITICAL,RESOLVED,Fibre FTTH,Ooredoo Tunisie,2026-03-14 23:00:00,2026-03-15 08:37:00,Le port OLT a ete nettoye puis reequilibre et la connectivite a ete retablie sur l ensemble de la zone impactee,Une saturation anormale de la table MAC sur le port OLT de collecte a bloque l acheminement des flux,Le trafic a ete detourne vers un port de collecte de secours pour les clients prioritaires Le port OLT a ete nettoye puis reequilibre et la connectivite a ete retablie sur l ensemble de la zone impactee Verification finale effectuee avec les equipes metier et exploitation.,fr
2039,TKT-2026-02039,Perte de connectivite publique sur des instances Cloud VPS apres maintenance lot secondaire,Des machines virtuelles de production restent joignables en interne mais ne repondent plus depuis Internet apres une maintenance hyperviseur. Les applications B2B exposees publiquement sont indisponibles. Des controles complementaires ont ete lances sur les flux inter applicatifs.,INCIDENT,HIGH,IN_PROGRESS,Cloud VPS,Tunisie Telecom,2026-03-15 02:00:00,,,,Investigation en cours. Un basculement de certains services publics a ete effectue vers le site secondaire du client Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
2040,TKT-2026-02040,Lenteur de consultation des contrats multi lignes dans CRM Ericsson lot secondaire,Les agents du centre de relation client constatent des temps d affichage superieurs a 25 secondes lors de l ouverture des contrats multi lignes. La prise d appel sur les comptes entreprise est fortement ralentie. Le perimetre touche concerne principalement les comptes B2B prioritaires.,INCIDENT,HIGH,ESCALATED,CRM Ericsson,Orange Tunisie,2026-03-15 05:00:00,,,,Investigation en cours. Les agents ont utilise la vue simplifiee client pendant la degradation pour poursuivre les appels Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.,fr
