example_id,label,title,summary,recommendation,priority,status,age_hours,sla_remaining_minutes,sla_breached,service_degraded,similar_ticket_count,probable_mass_incident,duplicate_confidence,frustration_score,backlog_open_tickets,agent_open_ticket_count,incident_linked,business_impact,service_criticality,assigned
seed-inc-001,OPEN_INCIDENT,Cluster tickets BSCS facture,Plusieurs tickets similaires convergent sur BSCS avec service degrade.,Ouvrir un incident global et centraliser la communication.,HIGH,NEW,4,180,false,true,4,true,0.88,0.61,16,0,false,HIGH,CRITICAL,false
seed-inc-002,OPEN_INCIDENT,Incident probable CRM regional,Des doublons forts et un service degrade suggerent une cause commune.,Preparer un incident puis verifier les impacts transverses.,HIGH,IN_PROGRESS,5,150,false,true,5,true,0.82,0.47,14,6,false,HIGH,HIGH,true
seed-inc-003,OPEN_INCIDENT,Mass incident backbone,Le backbone montre plusieurs tickets critiques rapproches.,Declencher l'investigation incident et rattacher les tickets.,CRITICAL,IN_PROGRESS,3,95,false,true,6,true,0.91,0.74,21,5,false,CRITICAL,CRITICAL,true
seed-inc-004,OPEN_INCIDENT,Service degrade avec doublons multiples,Les tickets se ressemblent et la supervision confirme une degradation.,Ouvrir un incident de service avant traitement au cas par cas.,MEDIUM,NEW,2,260,false,true,4,true,0.79,0.36,13,0,false,MEDIUM,HIGH,false
seed-inc-005,OPEN_INCIDENT,VoIP multi-sites impacte,Plusieurs clients remontent la meme panne sur un service business.,Structurer un incident global puis confirmer les sites touches.,HIGH,PENDING_THIRD_PARTY,7,60,false,true,5,true,0.76,0.69,22,4,false,HIGH,CRITICAL,true
seed-mon-001,MONITOR,Dossier standard en cours,Le ticket avance normalement sans derive SLA ni signal transverse.,Continuer le suivi normal et verifier au prochain point de controle.,MEDIUM,IN_PROGRESS,3,420,false,false,0,false,0.08,0.21,11,4,false,MEDIUM,MEDIUM,true
seed-mon-002,MONITOR,Attente client sans urgence,Le ticket attend un retour client mais reste sous controle.,Surveiller la reponse client sans intervention manager immediate.,LOW,PENDING,12,510,false,false,0,false,0.04,0.18,9,3,false,LOW,LOW,true
seed-mon-003,MONITOR,Petit incident localise,Le ticket reste isole et la charge equipe demeure acceptable.,Garder le dossier visible sans repriorisation.,LOW,ASSIGNED,5,360,false,false,0,false,0.02,0.16,8,4,false,LOW,MEDIUM,true
seed-mon-004,MONITOR,Demande information simple,Le dossier ne montre pas de signal metier fort.,Suivre le traitement standard et eviter une escalation inutile.,LOW,IN_PROGRESS,2,600,false,false,0,false,0.01,0.11,7,2,false,LOW,LOW,true
seed-mon-005,MONITOR,Ticket reseau stabilise,Le service est revenu a la normale et aucun cluster n'apparait.,Continuer le monitoring local sans action supplementaire.,MEDIUM,IN_PROGRESS,4,240,false,false,1,false,0.17,0.29,10,5,false,MEDIUM,MEDIUM,true
seed-sum-001,PREPARE_SUMMARY,Point manager sur ticket premium,Le ticket est sensible pour un client prioritaire avec forte frustration.,Preparer une synthese manager avant point de pilotage.,HIGH,IN_PROGRESS,16,80,false,false,1,false,0.24,0.85,19,6,false,CRITICAL,HIGH,true
seed-sum-002,PREPARE_SUMMARY,Communication executive needed,Le dossier exige une vision claire pour communication interne.,Compiler les faits et preparer la synthese decisionnelle.,CRITICAL,ESCALATED,9,55,false,true,2,false,0.33,0.73,20,7,true,CRITICAL,CRITICAL,true
seed-sum-003,PREPARE_SUMMARY,Brief manager avant comite,Le ticket touche un service critique mais l'incident n'est pas encore confirme.,Preparer un brief de supervision avec risques et options.,HIGH,IN_PROGRESS,11,110,false,true,2,false,0.41,0.67,17,5,false,HIGH,CRITICAL,true
seed-sum-004,PREPARE_SUMMARY,Synthese backlog client strategic,Le client se montre tres frustre et attend une prise de position manager.,Preparer une synthese partageable avec priorites et decisions.,HIGH,PENDING_THIRD_PARTY,20,45,false,false,1,false,0.19,0.88,25,8,false,HIGH,HIGH,true
seed-sum-005,PREPARE_SUMMARY,Note de decision service critique,Le service est critique et le ticket structure la lecture du portefeuille.,Produire une synthese executive avant arbitrage ou communication.,MEDIUM,IN_PROGRESS,22,140,false,false,2,false,0.27,0.72,18,6,false,HIGH,CRITICAL,true
