incident_id,title,description,service_name,severity,status,language,start_date,resolved_date,root_cause,workaround,final_resolution
11,Perte de connectivite publique sur des instances Cloud VPS apres maintenance,Des machines virtuelles de production restent joignables en interne mais ne repondent plus depuis Internet apres une maintenance hyperviseur. Les applications B2B exposees publiquement sont indisponibles.,Cloud VPS,MAJOR,RESOLVED,fr,2026-02-02 02:25:00,2026-02-02 06:50:00,Un agent reseau du cluster n a pas restaure les liaisons des adresses IP flottantes au redemarrage,Un basculement de certains services publics a ete effectue vers le site secondaire du client,Les liaisons IP flottantes ont ete reconstruites puis les tables de routage externes ont ete resynchronisees sur le cluster
12,Lenteur de consultation des contrats multi lignes dans CRM Ericsson,Les agents du centre de relation client constatent des temps d affichage superieurs a 25 secondes lors de l ouverture des contrats multi lignes. La prise d appel sur les comptes entreprise est fortement ralentie.,CRM Ericsson,MAJOR,CLOSED,fr,2026-02-04 10:05:00,2026-02-04 18:00:00,La requete chargeait tout l historique contractuel sans index adapte sur la table de liaison,Les agents ont utilise la vue simplifiee client pendant la degradation pour poursuivre les appels,Un index SQL a ete ajoute et la pagination de l historique a ete activee ce qui a ramene le temps d ouverture sous quatre secondes
13,Erreur de taxation TVA sur les frais de remise en service BSCS,Les devis et previsualisations de facture appliquent un taux de TVA incorrect sur les frais de remise en service des comptes entreprise. L anomalie ne touche pas les comptes grand public.,BSCS Billing System,LOW,RESOLVED,fr,2026-02-06 09:30:00,2026-02-06 12:20:00,Le produit technique etait rattache a une classe fiscale grand public au lieu de la classe entreprise,Les devis sensibles ont ete verifies manuellement par l equipe billing avant validation client,Le code taxe du produit a ete corrige dans le catalogue BSCS puis les simulations tarifaires ont ete relancees
14,Fausse alarme critique persistante sur un routeur coeur dans OSS,Une alarme de perte de redondance reste ouverte dans l OSS alors que le routeur coeur est revenu nominalement selon l equipe reseau. Les tableaux de disponibilite sont fausses et le NOC multiplie les escalades inutiles.,Core Network OSS,MAJOR,RESOLVED,fr,2026-02-08 14:10:00,2026-02-08 19:35:00,Le moteur de reconciliation des etats n arrivait plus a purger l alarme a cause d une incoherence d inventaire temps reel,Le NOC a applique une suppression logique controlee de l alarme sur le tableau de supervision pour limiter le bruit,La base d etat OSS a ete resynchronisee puis le connecteur d alarme a ete redemarre et les faux positifs ont disparu
15,Echec de provisionnement de l option roaming entreprise,Les commandes de souscription a l option roaming sont acceptees dans le CRM mais echouent a l etape de provisionning HLR HSS. Les clients ne peuvent pas utiliser l option a l etranger.,Provisioning Platform,MAJOR,RESOLVED,fr,2026-02-10 08:50:00,2026-02-10 15:45:00,Le code option commercial ne correspondait plus au profil technique attendu par le moteur de provisioning,Les activations urgentes ont ete forcees manuellement sur le HLR pour les comptes en voyage,Le mapping catalogue vers profil technique a ete corrige puis les commandes en echec ont ete rejouees et verifiees
16,Rejets incoherents des demandes MNP pour identite client invalide,Plusieurs dossiers de portabilite sont rejetes avec un code identite client invalide alors que les donnees du CRM sont correctes. Le phenomene touche surtout les lignes B2B multi utilisateurs.,Mobile Portability Gateway,MAJOR,RESOLVED,fr,2026-02-12 10:40:00,2026-02-12 17:00:00,La regle de normalisation du numero de piece d identite supprimait un caractere significatif sur les dossiers entreprise,Les dossiers urgents ont ete corriges manuellement avant soumission a l operateur donneur,La transformation de l identite client a ete corrigee puis les demandes rejetees ont ete resoumises avec succes
17,Webhook Order Care non emis apres validation des changements d offre,Les systemes aval ne recoivent plus l evenement de validation des commandes de changement d offre. Les options commerciales ne sont donc pas activees automatiquement.,Order Care API,MAJOR,CLOSED,fr,2026-02-14 11:20:00,2026-02-14 16:55:00,Une cle de routage incorrecte avait ete appliquee lors d une mise a jour du bus d evenements,Les ordres valides ont ete surveilles manuellement et les activations critiques ont ete lancees via un script de reprise,La cle de routage a ete corrigee puis les webhooks en attente ont ete republies vers tous les consommateurs concernes
18,Violation de cles etrangeres pendant la migration des ordres de service,Le chargement des ordres de service dans la cible s interrompt avec des erreurs SQL de cle etrangere. Les ordres dependent de referentiels produit et canal absents dans la cible.,Data Migration Engine,CRITICAL,RESOLVED,fr,2026-02-16 00:15:00,2026-02-16 08:10:00,L ordonnancement des jobs ETL ne respectait pas la dependance entre les tables de reference et les ordres,Le lot d import des ordres a ete suspendu et les ordres critiques ont ete extraits pour un chargement pilote,Le sequencement ETL a ete corrige puis les referentiels ont ete recharges avant rejeu complet des ordres de service
19,Perte RTP sur les files du centre de contact VoIP,Le centre de contact constate des coupures vocales et une forte gigue sur les appels entrants depuis le debut de matinee. Le taux de perte RTP depasse 8 pour cent sur plusieurs files critiques.,VoIP Platform,MAJOR,RESOLVED,fr,2026-02-18 08:00:00,2026-02-18 13:25:00,Une politique QoS appliquee lors d une maintenance avait degrade la priorite du trafic RTP,Les appels prioritaires ont ete reroutes vers la passerelle media secondaire pour reduire l impact,La politique QoS a ete corrigee sur les interfaces de sortie et les flux RTP ont retrouve un niveau de perte normal
20,Debit FTTH inferieur au profil commercial sur liaison entreprise,Le client mesure un debit descendant plafonne a 120 Mbps sur une offre 300 Mbps. Les tests sont realises en filaire et l ONT ne remonte aucune alarme optique.,Fibre FTTH,MAJOR,RESOLVED,fr,2026-02-19 09:05:00,2026-02-19 14:40:00,Le profil de traffic shaping applique sur l OLT etait celui d une ancienne offre,Le client a ete place temporairement sur un profil intermediaire plus eleve en attendant la correction definitive,Le template de bande passante a ete corrige sur l OLT puis la session client a ete reprovisionnee au bon debit
21,Snapshots nocturnes Cloud VPS en echec sur le cluster de sauvegarde,Les snapshots planifies de plusieurs VM de production echouent depuis deux nuits consecutives et aucun point de restauration recent n est disponible. Le risque de perte de reprise augmente.,Cloud VPS,MAJOR,CLOSED,fr,2026-02-21 01:10:00,2026-02-21 10:30:00,Le stockage du repository de snapshots etait arrive a saturation,Les sauvegardes les plus critiques ont ete exportees manuellement vers un stockage temporaire,Le volume du repository a ete etendu puis les jobs en erreur ont ete rejoues et verifies
22,Historique des interactions client incomplet dans CRM Ericsson,Les conseillers ne visualisent plus l ensemble des interactions sur certains comptes entreprise depuis la derniere synchronisation analytique. Les dossiers anciens sont absents du timeline CRM.,CRM Ericsson,MAJOR,RESOLVED,fr,2026-02-23 07:55:00,2026-02-23 15:10:00,Une erreur de partitionnement sur la cle customer group excluait les gros comptes B2B du traitement incremental,Les agents ont consulte temporairement l historique via le referentiel analytique en lecture seule,Le job d alimentation du timeline a ete relance apres correction de la cle de partition et les interactions manquantes ont ete rechargees
23,Lot de suspension pour impayes non execute dans BSCS,Le traitement automatique de suspension pour impayes n a pas ete lance durant la nuit. Les comptes en retard n ont pas change de statut et les campagnes de recouvrement sont bloquees.,BSCS Billing System,MAJOR,RESOLVED,fr,2026-02-24 06:30:00,2026-02-24 11:20:00,Une mise a jour de planification avait desactive la tache nocturne dans le calendrier d exploitation,Les comptes a risque eleve ont ete identifies et traites manuellement par l equipe recouvrement,Le scheduler a ete corrige puis le lot de suspension a ete execute en rattrapage avec verification des statuts comptes
24,Arret de collecte des alarmes sur le cluster OSS secondaire,Le cluster secondaire OSS ne collecte plus les alarmes coeur reseau depuis 03:00. En cas de bascule NOC aucune vue fiable des incidents n est disponible sur l environnement de secours.,Core Network OSS,CRITICAL,RESOLVED,fr,2026-02-25 03:00:00,2026-02-25 07:45:00,Un montage NFS en lecture seule empechait la mise a jour des fichiers de subscription alarmes,Le NOC est reste positionne sur le cluster principal pendant la remise en service afin de conserver une vision complete,Le montage a ete corrige puis les services de collecte ont ete redemarres et le buffer d alarmes a ete resynchronise
25,Rollback incomplet lors de l annulation d une suspension,Quand une commande de suspension est annulee dans le CRM certains sous services restent suspendus dans le moteur de provisioning. Le statut commercial redevient actif mais le service technique ne suit pas.,Provisioning Platform,MAJOR,CLOSED,fr,2026-02-26 10:20:00,2026-02-26 18:05:00,Une branche du workflow de rollback omettait le sous service data dans les offres multi produits,Les comptes les plus sensibles ont ete regularises manuellement avant execution du correctif global,Le workflow a ete corrige puis un batch de remediation a reactive les sous services restes suspendus
26,Decomposition technique incomplete des commandes FTTH via Order Care,Les commandes FTTH creees depuis le digital arrivent dans Order Care mais ne generent pas tous les sous ordres necessaires a l installation et a l activation PPPoE. Les plannings terrain restent incomplets.,Order Care API,MAJOR,RESOLVED,fr,2026-02-27 09:45:00,2026-02-27 16:40:00,Une condition d orchestration filtrait a tort les produits FTTH B2B avec option IP fixe,Les commandes urgentes ont ete completees manuellement par le back office pour maintenir les rendez vous terrain,La regle de decomposition a ete corrigee puis les commandes incompletes ont ete repassees dans le moteur d orchestration
27,Incoherence de reprise des historiques de facture dans Data Migration Engine,Lors des tests de migration certains comptes recuperent un historique de facturation incomplet sur 24 mois. Les ecarts concernent surtout les factures avec ajustements manuels et avoirs.,Data Migration Engine,MAJOR,RESOLVED,fr,2026-02-28 08:35:00,2026-02-28 17:15:00,Une jointure ETL n integrait pas correctement les ecritures d ajustement rattachees aux factures d origine,Un export controle des factures critiques a ete fourni aux equipes recette en attendant le rejeu complet,La requete de reconciliation a ete corrigee puis les historiques manquants ont ete recharges et verifies par echantillon
28,Tableaux de disponibilite OSS figes sur des donnees obsoletes,Les dashboards de disponibilite multi service affichent encore les metriques de la veille alors que les collecteurs remontent des donnees fraiches. Le management ne dispose plus d un suivi fiable.,Core Network OSS,LOW,CLOSED,fr,2026-03-01 06:15:00,2026-03-01 09:50:00,Le service de cache de series temporelles etait bloque apres une purge planifiee inachevee,Le reporting du matin a ete prepare a partir des exports bruts des collecteurs pendant la remise en service,Le cache applicatif a ete reconstruit puis le service de requetage a ete redemarre et les tableaux ont retrouve des donnees a jour
29,BSCS invoice rendering backlog on large enterprise accounts,Invoice rendering for high volume enterprise accounts exceeded twenty minutes and several invoice previews timed out in the billing portal. Finance users could not validate invoices before the cut off window.,BSCS Billing System,MAJOR,RESOLVED,en,2026-03-02 08:10:00,2026-03-02 14:25:00,The rendering service loaded oversized attachment bundles without using the template cache efficiently,A reduced preview template was enabled for urgent finance validation while the rendering path was being corrected,The rendering cache configuration was optimized and the blocked preview jobs were reprocessed successfully
30,CRM Ericsson merge workflow failing for duplicate corporate accounts,Customer care teams could not merge duplicate corporate accounts in CRM Ericsson because the workflow stopped after validation. The duplicate record remained active and case ownership stayed inconsistent.,CRM Ericsson,MAJOR,CLOSED,en,2026-03-03 09:20:00,2026-03-03 17:40:00,The merge workflow did not handle active service contracts linked to multiple billing profiles,Support agents used a manual ownership correction process for urgent duplicate cases during the incident,The workflow rules were updated and duplicate corporate records were merged successfully after validation testing
31,Core Network OSS polling failure for transmission backbone nodes,Backbone transmission nodes stopped reporting availability and latency metrics to Core Network OSS during the morning collection window. NOC dashboards showed the nodes in unknown state.,Core Network OSS,CRITICAL,RESOLVED,en,2026-03-04 05:50:00,2026-03-04 11:05:00,A corrupted deployment package removed the transmission SNMP profiles from one collector group,The NOC relied on direct device polling for the most critical backbone sites until OSS collection was restored,The missing SNMP profiles were redeployed and the collectors were restarted which restored normal metric collection
32,Provisioning queue blocked for postpaid package activations,Postpaid package activation orders remained in accepted state for more than one hour and were not progressing through the provisioning platform. Retail and CRM channels were both affected.,Provisioning Platform,CRITICAL,RESOLVED,en,2026-03-05 10:00:00,2026-03-05 13:35:00,A malformed campaign payload blocked the main provisioning consumer thread,A secondary worker pool processed priority activations while the queue was being stabilized,The malformed payload pattern was quarantined and the main consumer was restarted then all pending activations were replayed
33,Morning portability cutover batch missed by gateway scheduler,The 06:00 portability cutover batch did not start and customer numbers remained pending for activation on the target network. The incident created a risk of regulatory SLA breach.,Mobile Portability Gateway,CRITICAL,RESOLVED,en,2026-03-06 06:00:00,2026-03-06 10:45:00,A stale execution lock prevented the scheduler from releasing the morning cutover trigger,Priority portability cases were executed through a supervised manual cutover sequence while the scheduler was recovered,The stale lock was cleared and scheduler health checks were added before replaying the missed batch successfully
34,Order Care callback delivery loss to CRM integration connector,Completion callbacks were generated by Order Care but a subset of them never reached the CRM connector. Orders appeared completed in Order Care and still in progress in CRM.,Order Care API,MAJOR,RESOLVED,en,2026-03-07 08:40:00,2026-03-07 15:20:00,The CRM connector retry policy discarded callback messages after a temporary broker timeout,Back office teams used the Order Care operations console to confirm completion status for urgent customer orders,The connector retry policy was corrected and missed completion events were republished to CRM consumers
35,Customer migration batch failed on invalid product mapping rules,A migration batch moving enterprise customers to the new billing and CRM stack stopped during transformation because several product codes could not be mapped to the target catalog.,Data Migration Engine,MAJOR,RESOLVED,en,2026-03-08 00:30:00,2026-03-08 09:55:00,Legacy enterprise product codes were missing from the target mapping table,Migration governance accepted a temporary exclusion list for non critical products while the catalog mapping was completed,The missing product mappings were added and the migration batch was replayed from the failed checkpoint without remaining errors
36,International call routing failure on enterprise VoIP trunks,Enterprise customers could place national calls successfully but international calls toward European destinations failed with 503 responses on the VoIP platform. Several contact centers were impacted.,VoIP Platform,MAJOR,RESOLVED,en,2026-03-09 07:25:00,2026-03-09 12:15:00,A recent route pattern update removed the main international exit trunk from one destination group,Calls to affected destinations were temporarily rerouted through the backup carrier for premium customers,The route pattern was restored on the production SBC nodes and successful international test calls confirmed service recovery
37,FTTH enterprise access profile mismatch after service migration,After a recent migration the enterprise FTTH circuit kept the previous residential shaping template and delivered a lower bandwidth than contracted. Optical quality remained stable during the incident.,Fibre FTTH,MAJOR,RESOLVED,en,2026-03-10 09:10:00,2026-03-10 14:30:00,The migration workflow attached the wrong OLT service profile to the enterprise circuit,A temporary bandwidth override was applied on the access node to reduce customer impact before final correction,The correct enterprise access template was assigned and the circuit was reprovisioned with the expected bandwidth profile
38,Cloud VPS firewall policy not applied to the management subnet,A customer approved firewall rule was visible in the cloud portal but was not enforced on the production virtual machine. Management access from the approved subnet failed while other services stayed online.,Cloud VPS,LOW,CLOSED,en,2026-03-11 11:00:00,2026-03-11 15:10:00,The production VM was attached to an outdated security group after an earlier cloning operation,Operations used console access on the hypervisor to perform urgent administration tasks until the firewall policy was corrected,The correct security group was attached and the firewall policy was redeployed on the shared gateway with successful management access validation
39,Enterprise discount not applied on BSCS monthly invoices,Several enterprise accounts were billed above their contracted amount because the corporate discount rule was not applied during invoice generation. Finance escalated the discrepancy before customer distribution.,BSCS Billing System,MAJOR,RESOLVED,en,2026-03-12 06:45:00,2026-03-12 13:55:00,An incomplete tariff catalog promotion removed the enterprise discount reference from the active billing configuration,Invoice release was paused for the affected account segment while finance reviewed the impacted customer list,The discount reference was restored in the billing catalog and impacted invoices were regenerated before release
40,Order Care webhook payload missing sales channel after release,Downstream CRM and reporting systems stopped receiving the sales channel attribute in Order Care webhook payloads after a minor release. Reporting by channel became inconsistent for new orders.,Order Care API,LOW,CLOSED,en,2026-03-13 08:30:00,2026-03-13 12:05:00,A serialization change removed the optional salesChannel field from the webhook contract,Reporting teams used the order creation logs as a temporary source for channel attribution during the issue,The webhook serializer was corrected and missed events were republished with the complete payload schema
