doc_id,doc_type,source_id,service_name,company_name,language,title,content
ticket_2009,ticket,2009,VoIP Platform,Rabat Digital Operations,fr,Echec d enregistrement SIP sur le trunk principal entreprise,"Type: Ticket
Ticket Number: TKT-2026-02009
Service: VoIP Platform
Company: Rabat Digital Operations
Title: Echec d enregistrement SIP sur le trunk principal entreprise
Description: Les appels sortants des clients entreprise ne s etablissent plus depuis 08:15 et le SBC principal retourne 403 sur toutes les tentatives d enregistrement SIP. Le trafic voix sortant est fortement impacte. Des controles complementaires ont ete lances sur les flux inter applicatifs.
Category: INCIDENT
Priority: CRITICAL
Status: RESOLVED
Root Cause: Le certificat TLS du trunk principal a expire a minuit sans redeploiement automatique
Resolution: Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement
Comments: Le trafic voix sortant a ete bascule provisoirement sur le SBC secondaire pour les clients critiques Le certificat a ete renouvele puis redeploye sur le SBC principal et les enregistrements SIP ont repris normalement Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2010,ticket,2010,Fibre FTTH,Maghreb Fibre Entreprise,fr,Coupure FTTH regionale apres saturation d un port OLT,"Type: Ticket
Ticket Number: TKT-2026-02010
Service: Fibre FTTH
Company: Maghreb Fibre Entreprise
Title: Coupure FTTH regionale apres saturation d un port OLT
Description: Plusieurs clients entreprise de la zone industrielle de Casablanca ont perdu la connectivite IP alors que les ONT restent synchronisees optiquement. Aucun trafic ne transite sur le port de collecte principal. Le perimetre touche concerne principalement les comptes B2B prioritaires.
Category: PROVISIONING
Priority: CRITICAL
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Investigation en cours. Le trafic a ete detourne vers un port de collecte de secours pour les clients prioritaires Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2011,ticket,2011,Cloud VPS,Atlas Cloud Hosting,fr,Perte de connectivite publique sur des instances Cloud VPS apres maintenance,"Type: Ticket
Ticket Number: TKT-2026-02011
Service: Cloud VPS
Company: Atlas Cloud Hosting
Title: Perte de connectivite publique sur des instances Cloud VPS apres maintenance
Description: Des machines virtuelles de production restent joignables en interne mais ne repondent plus depuis Internet apres une maintenance hyperviseur. Les applications B2B exposees publiquement sont indisponibles. L impact est confirme sur le perimetre production entreprise.
Category: INCIDENT
Priority: HIGH
Status: CLOSED
Root Cause: Un agent reseau du cluster n a pas restaure les liaisons des adresses IP flottantes au redemarrage
Resolution: Les liaisons IP flottantes ont ete reconstruites puis les tables de routage externes ont ete resynchronisees sur le cluster
Comments: Un basculement de certains services publics a ete effectue vers le site secondaire du client Les liaisons IP flottantes ont ete reconstruites puis les tables de routage externes ont ete resynchronisees sur le cluster Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2012,ticket,2012,CRM Ericsson,Nova Business Connect,fr,Lenteur de consultation des contrats multi lignes dans CRM Ericsson,"Type: Ticket
Ticket Number: TKT-2026-02012
Service: CRM Ericsson
Company: Nova Business Connect
Title: Lenteur de consultation des contrats multi lignes dans CRM Ericsson
Description: Les agents du centre de relation client constatent des temps d affichage superieurs a 25 secondes lors de l ouverture des contrats multi lignes. La prise d appel sur les comptes entreprise est fortement ralentie. Le NOC a ouvert une surveillance renforcee sur le service concerne.
Category: INCIDENT
Priority: HIGH
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les agents ont utilise la vue simplifiee client pendant la degradation pour poursuivre les appels Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2013,ticket,2013,BSCS Billing System,Atlas Distribution Maroc,fr,Erreur de taxation TVA sur les frais de remise en service BSCS,"Type: Ticket
Ticket Number: TKT-2026-02013
Service: BSCS Billing System
Company: Atlas Distribution Maroc
Title: Erreur de taxation TVA sur les frais de remise en service BSCS
Description: Les devis et previsualisations de facture appliquent un taux de TVA incorrect sur les frais de remise en service des comptes entreprise. L anomalie ne touche pas les comptes grand public. Le client demande un retour rapide afin de respecter son SLA contractuel.
Category: CONFIGURATION
Priority: LOW
Status: RESOLVED
Root Cause: Le produit technique etait rattache a une classe fiscale grand public au lieu de la classe entreprise
Resolution: Le code taxe du produit a ete corrige dans le catalogue BSCS puis les simulations tarifaires ont ete relancees
Comments: Les devis sensibles ont ete verifies manuellement par l equipe billing avant validation client Le code taxe du produit a ete corrige dans le catalogue BSCS puis les simulations tarifaires ont ete relancees Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2014,ticket,2014,Core Network OSS,Sahara Connect Services,fr,Fausse alarme critique persistante sur un routeur coeur dans OSS,"Type: Ticket
Ticket Number: TKT-2026-02014
Service: Core Network OSS
Company: Sahara Connect Services
Title: Fausse alarme critique persistante sur un routeur coeur dans OSS
Description: Une alarme de perte de redondance reste ouverte dans l OSS alors que le routeur coeur est revenu nominalement selon l equipe reseau. Les tableaux de disponibilite sont fausses et le NOC multiplie les escalades inutiles. Des controles complementaires ont ete lances sur les flux inter applicatifs.
Category: INCIDENT
Priority: HIGH
Status: RESOLVED
Root Cause: Le moteur de reconciliation des etats n arrivait plus a purger l alarme a cause d une incoherence d inventaire temps reel
Resolution: La base d etat OSS a ete resynchronisee puis le connecteur d alarme a ete redemarre et les faux positifs ont disparu
Comments: Le NOC a applique une suppression logique controlee de l alarme sur le tableau de supervision pour limiter le bruit La base d etat OSS a ete resynchronisee puis le connecteur d alarme a ete redemarre et les faux positifs ont disparu Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2015,ticket,2015,Provisioning Platform,Rabat Digital Operations,fr,Echec de provisionnement de l option roaming entreprise,"Type: Ticket
Ticket Number: TKT-2026-02015
Service: Provisioning Platform
Company: Rabat Digital Operations
Title: Echec de provisionnement de l option roaming entreprise
Description: Les commandes de souscription a l option roaming sont acceptees dans le CRM mais echouent a l etape de provisionning HLR HSS. Les clients ne peuvent pas utiliser l option a l etranger. Le perimetre touche concerne principalement les comptes B2B prioritaires.
Category: PROVISIONING
Priority: HIGH
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les activations urgentes ont ete forcees manuellement sur le HLR pour les comptes en voyage Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2016,ticket,2016,Mobile Portability Gateway,Maghreb Fibre Entreprise,fr,Rejets incoherents des demandes MNP pour identite client invalide,"Type: Ticket
Ticket Number: TKT-2026-02016
Service: Mobile Portability Gateway
Company: Maghreb Fibre Entreprise
Title: Rejets incoherents des demandes MNP pour identite client invalide
Description: Plusieurs dossiers de portabilite sont rejetes avec un code identite client invalide alors que les donnees du CRM sont correctes. Le phenomene touche surtout les lignes B2B multi utilisateurs. L impact est confirme sur le perimetre production entreprise.
Category: PROVISIONING
Priority: HIGH
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les dossiers urgents ont ete corriges manuellement avant soumission a l operateur donneur Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2017,ticket,2017,Order Care API,Atlas Cloud Hosting,fr,Webhook Order Care non emis apres validation des changements d offre,"Type: Ticket
Ticket Number: TKT-2026-02017
Service: Order Care API
Company: Atlas Cloud Hosting
Title: Webhook Order Care non emis apres validation des changements d offre
Description: Les systemes aval ne recoivent plus l evenement de validation des commandes de changement d offre. Les options commerciales ne sont donc pas activees automatiquement. Le NOC a ouvert une surveillance renforcee sur le service concerne.
Category: EVOLUTION
Priority: HIGH
Status: RESOLVED
Root Cause: Une cle de routage incorrecte avait ete appliquee lors d une mise a jour du bus d evenements
Resolution: La cle de routage a ete corrigee puis les webhooks en attente ont ete republies vers tous les consommateurs concernes
Comments: Les ordres valides ont ete surveilles manuellement et les activations critiques ont ete lancees via un script de reprise La cle de routage a ete corrigee puis les webhooks en attente ont ete republies vers tous les consommateurs concernes Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2018,ticket,2018,Data Migration Engine,Nova Business Connect,fr,Violation de cles etrangeres pendant la migration des ordres de service,"Type: Ticket
Ticket Number: TKT-2026-02018
Service: Data Migration Engine
Company: Nova Business Connect
Title: Violation de cles etrangeres pendant la migration des ordres de service
Description: Le chargement des ordres de service dans la cible s interrompt avec des erreurs SQL de cle etrangere. Les ordres dependent de referentiels produit et canal absents dans la cible. Le client demande un retour rapide afin de respecter son SLA contractuel.
Category: MIGRATION
Priority: CRITICAL
Status: CLOSED
Root Cause: L ordonnancement des jobs ETL ne respectait pas la dependance entre les tables de reference et les ordres
Resolution: Le sequencement ETL a ete corrige puis les referentiels ont ete recharges avant rejeu complet des ordres de service
Comments: Le lot d import des ordres a ete suspendu et les ordres critiques ont ete extraits pour un chargement pilote Le sequencement ETL a ete corrige puis les referentiels ont ete recharges avant rejeu complet des ordres de service Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2019,ticket,2019,VoIP Platform,Atlas Distribution Maroc,fr,Perte RTP sur les files du centre de contact VoIP,"Type: Ticket
Ticket Number: TKT-2026-02019
Service: VoIP Platform
Company: Atlas Distribution Maroc
Title: Perte RTP sur les files du centre de contact VoIP
Description: Le centre de contact constate des coupures vocales et une forte gigue sur les appels entrants depuis le debut de matinee. Le taux de perte RTP depasse 8 pour cent sur plusieurs files critiques. Des controles complementaires ont ete lances sur les flux inter applicatifs.
Category: INCIDENT
Priority: HIGH
Status: RESOLVED
Root Cause: Une politique QoS appliquee lors d une maintenance avait degrade la priorite du trafic RTP
Resolution: La politique QoS a ete corrigee sur les interfaces de sortie et les flux RTP ont retrouve un niveau de perte normal
Comments: Les appels prioritaires ont ete reroutes vers la passerelle media secondaire pour reduire l impact La politique QoS a ete corrigee sur les interfaces de sortie et les flux RTP ont retrouve un niveau de perte normal Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2020,ticket,2020,Fibre FTTH,Sahara Connect Services,fr,Debit FTTH inferieur au profil commercial sur liaison entreprise,"Type: Ticket
Ticket Number: TKT-2026-02020
Service: Fibre FTTH
Company: Sahara Connect Services
Title: Debit FTTH inferieur au profil commercial sur liaison entreprise
Description: Le client mesure un debit descendant plafonne a 120 Mbps sur une offre 300 Mbps. Les tests sont realises en filaire et l ONT ne remonte aucune alarme optique. Le perimetre touche concerne principalement les comptes B2B prioritaires.
Category: INCIDENT
Priority: HIGH
Status: RESOLVED
Root Cause: Le profil de traffic shaping applique sur l OLT etait celui d une ancienne offre
Resolution: Le template de bande passante a ete corrige sur l OLT puis la session client a ete reprovisionnee au bon debit
Comments: Le client a ete place temporairement sur un profil intermediaire plus eleve en attendant la correction definitive Le template de bande passante a ete corrige sur l OLT puis la session client a ete reprovisionnee au bon debit Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2021,ticket,2021,Cloud VPS,Rabat Digital Operations,fr,Snapshots nocturnes Cloud VPS en echec sur le cluster de sauvegarde,"Type: Ticket
Ticket Number: TKT-2026-02021
Service: Cloud VPS
Company: Rabat Digital Operations
Title: Snapshots nocturnes Cloud VPS en echec sur le cluster de sauvegarde
Description: Les snapshots planifies de plusieurs VM de production echouent depuis deux nuits consecutives et aucun point de restauration recent n est disponible. Le risque de perte de reprise augmente. L impact est confirme sur le perimetre production entreprise.
Category: INCIDENT
Priority: HIGH
Status: CLOSED
Root Cause: Le stockage du repository de snapshots etait arrive a saturation
Resolution: Le volume du repository a ete etendu puis les jobs en erreur ont ete rejoues et verifies
Comments: Les sauvegardes les plus critiques ont ete exportees manuellement vers un stockage temporaire Le volume du repository a ete etendu puis les jobs en erreur ont ete rejoues et verifies Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2022,ticket,2022,CRM Ericsson,Maghreb Fibre Entreprise,fr,Historique des interactions client incomplet dans CRM Ericsson,"Type: Ticket
Ticket Number: TKT-2026-02022
Service: CRM Ericsson
Company: Maghreb Fibre Entreprise
Title: Historique des interactions client incomplet dans CRM Ericsson
Description: Les conseillers ne visualisent plus l ensemble des interactions sur certains comptes entreprise depuis la derniere synchronisation analytique. Les dossiers anciens sont absents du timeline CRM. Le NOC a ouvert une surveillance renforcee sur le service concerne.
Category: RECLAMATION
Priority: HIGH
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les agents ont consulte temporairement l historique via le referentiel analytique en lecture seule Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2023,ticket,2023,BSCS Billing System,Atlas Cloud Hosting,fr,Lot de suspension pour impayes non execute dans BSCS,"Type: Ticket
Ticket Number: TKT-2026-02023
Service: BSCS Billing System
Company: Atlas Cloud Hosting
Title: Lot de suspension pour impayes non execute dans BSCS
Description: Le traitement automatique de suspension pour impayes n a pas ete lance durant la nuit. Les comptes en retard n ont pas change de statut et les campagnes de recouvrement sont bloquees. Le client demande un retour rapide afin de respecter son SLA contractuel.
Category: INCIDENT
Priority: HIGH
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les comptes a risque eleve ont ete identifies et traites manuellement par l equipe recouvrement Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2024,ticket,2024,Core Network OSS,Nova Business Connect,fr,Arret de collecte des alarmes sur le cluster OSS secondaire,"Type: Ticket
Ticket Number: TKT-2026-02024
Service: Core Network OSS
Company: Nova Business Connect
Title: Arret de collecte des alarmes sur le cluster OSS secondaire
Description: Le cluster secondaire OSS ne collecte plus les alarmes coeur reseau depuis 03:00. En cas de bascule NOC aucune vue fiable des incidents n est disponible sur l environnement de secours. Des controles complementaires ont ete lances sur les flux inter applicatifs.
Category: INCIDENT
Priority: CRITICAL
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Investigation en cours. Le NOC est reste positionne sur le cluster principal pendant la remise en service afin de conserver une vision complete Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2025,ticket,2025,Provisioning Platform,Atlas Distribution Maroc,fr,Rollback incomplet lors de l annulation d une suspension,"Type: Ticket
Ticket Number: TKT-2026-02025
Service: Provisioning Platform
Company: Atlas Distribution Maroc
Title: Rollback incomplet lors de l annulation d une suspension
Description: Quand une commande de suspension est annulee dans le CRM certains sous services restent suspendus dans le moteur de provisioning. Le statut commercial redevient actif mais le service technique ne suit pas. Le perimetre touche concerne principalement les comptes B2B prioritaires.
Category: PROVISIONING
Priority: HIGH
Status: RESOLVED
Root Cause: Une branche du workflow de rollback omettait le sous service data dans les offres multi produits
Resolution: Le workflow a ete corrige puis un batch de remediation a reactive les sous services restes suspendus
Comments: Les comptes les plus sensibles ont ete regularises manuellement avant execution du correctif global Le workflow a ete corrige puis un batch de remediation a reactive les sous services restes suspendus Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2026,ticket,2026,Order Care API,Sahara Connect Services,fr,Decomposition technique incomplete des commandes FTTH via Order Care,"Type: Ticket
Ticket Number: TKT-2026-02026
Service: Order Care API
Company: Sahara Connect Services
Title: Decomposition technique incomplete des commandes FTTH via Order Care
Description: Les commandes FTTH creees depuis le digital arrivent dans Order Care mais ne generent pas tous les sous ordres necessaires a l installation et a l activation PPPoE. Les plannings terrain restent incomplets. L impact est confirme sur le perimetre production entreprise.
Category: PROVISIONING
Priority: HIGH
Status: RESOLVED
Root Cause: Une condition d orchestration filtrait a tort les produits FTTH B2B avec option IP fixe
Resolution: La regle de decomposition a ete corrigee puis les commandes incompletes ont ete repassees dans le moteur d orchestration
Comments: Les commandes urgentes ont ete completees manuellement par le back office pour maintenir les rendez vous terrain La regle de decomposition a ete corrigee puis les commandes incompletes ont ete repassees dans le moteur d orchestration Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
ticket_2027,ticket,2027,Data Migration Engine,Rabat Digital Operations,fr,Incoherence de reprise des historiques de facture dans Data Migration Engine,"Type: Ticket
Ticket Number: TKT-2026-02027
Service: Data Migration Engine
Company: Rabat Digital Operations
Title: Incoherence de reprise des historiques de facture dans Data Migration Engine
Description: Lors des tests de migration certains comptes recuperent un historique de facturation incomplet sur 24 mois. Les ecarts concernent surtout les factures avec ajustements manuels et avoirs. Le NOC a ouvert une surveillance renforcee sur le service concerne.
Category: MIGRATION
Priority: HIGH
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Investigation en cours. Un export controle des factures critiques a ete fourni aux equipes recette en attendant le rejeu complet Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2028,ticket,2028,Core Network OSS,Maghreb Fibre Entreprise,fr,Tableaux de disponibilite OSS figes sur des donnees obsoletes,"Type: Ticket
Ticket Number: TKT-2026-02028
Service: Core Network OSS
Company: Maghreb Fibre Entreprise
Title: Tableaux de disponibilite OSS figes sur des donnees obsoletes
Description: Les dashboards de disponibilite multi service affichent encore les metriques de la veille alors que les collecteurs remontent des donnees fraiches. Le management ne dispose plus d un suivi fiable. Le client demande un retour rapide afin de respecter son SLA contractuel.
Category: EVOLUTION
Priority: LOW
Status: ESCALATED
Root Cause: 
Resolution: 
Comments: Investigation en cours. Le reporting du matin a ete prepare a partir des exports bruts des collecteurs pendant la remise en service Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2029,ticket,2029,BSCS Billing System,Atlas Cloud Hosting,fr,Blocage du rating BSCS sur les CDR roaming entrants,"Type: Ticket
Ticket Number: TKT-2026-02029
Service: BSCS Billing System
Company: Atlas Cloud Hosting
Title: Blocage du rating BSCS sur les CDR roaming entrants
Description: Depuis 06:20 les CDR roaming entrants ne sont plus valorises dans BSCS et le backlog depasse 42000 enregistrements. Les soldes clients postpayes ne sont plus mis a jour apres consommation. Des controles complementaires ont ete lances sur les flux inter applicatifs.
Category: INCIDENT
Priority: CRITICAL
Status: IN_PROGRESS
Root Cause: 
Resolution: 
Comments: Investigation en cours. Les CDR invalides ont ete isoles et la file de mediation secondaire a pris le relais pour les flux prioritaires Une analyse detaillee des journaux applicatifs et des dependances techniques a ete engagee.
Language: fr"
ticket_2030,ticket,2030,BSCS Billing System,Nova Business Connect,fr,Echec du bill run mensuel BSCS pour les comptes entreprise,"Type: Ticket
Ticket Number: TKT-2026-02030
Service: BSCS Billing System
Company: Nova Business Connect
Title: Echec du bill run mensuel BSCS pour les comptes entreprise
Description: Le bill run mensuel s arrete au milieu du cycle entreprise et aucune facture PDF n est produite pour 8600 comptes. Les previsions de cloture financiere sont retardees. Le perimetre touche concerne principalement les comptes B2B prioritaires.
Category: INCIDENT
Priority: HIGH
Status: CLOSED
Root Cause: Le repertoire de polices du moteur PDF etait invalide apres une maintenance systeme
Resolution: Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees
Comments: Les factures critiques ont ete sorties via le moteur de secours afin de respecter la fenetre de controle finance Le chemin de rendu PDF a ete corrige puis le bill run a ete relance en reprise et toutes les factures ont ete regenerees Verification finale effectuee avec les equipes metier et exploitation.
Language: fr"
